"Date","Time (GMT)","Highest","MHHW (ft)","MHW (ft)","MSL (ft)","MTL (ft)","MLW (ft)","MLLW (ft)","Lowest (ft)","Inf"
"1968/01/01","00:00","2.812","2.054","NaN","0.974","NaN","NaN","0.102","-0.486","0"
"1968/02/01","00:00","2.513","2.024","NaN","1.053","NaN","NaN","0.272","0.013","0"
"1968/03/01","00:00","1.913","1.604","NaN","0.702","NaN","NaN","-0.026","-0.285","0"
"1968/04/01","00:00","1.814","1.503","NaN","0.564","NaN","NaN","-0.177","-0.587","0"
"1968/05/01","00:00","1.913","1.463","NaN","0.433","NaN","NaN","-0.367","-0.886","0"
"1968/06/01","00:00","2.014","1.493","NaN","0.394","NaN","NaN","-0.476","-0.886","0"
"1968/07/01","00:00","2.513","1.703","NaN","0.594","NaN","NaN","-0.285","-0.587","0"
"1968/08/01","00:00","2.513","2.083","NaN","1.014","NaN","NaN","0.154","-0.387","0"
"1968/09/01","00:00","2.812","2.244","NaN","1.204","NaN","NaN","0.404","0.115","0"
"1968/10/01","00:00","2.615","2.113","NaN","1.073","NaN","NaN","0.253","-0.285","0"
"1968/11/01","00:00","2.615","2.093","NaN","0.974","NaN","NaN","0.033","-0.486","0"
"1968/12/01","00:00","2.913","2.093","NaN","0.922","NaN","NaN","-0.036","-0.387","0"
"1969/01/01","00:00","2.713","2.014","NaN","0.883","NaN","NaN","-0.036","-0.587","0"
"1969/02/01","00:00","2.215","1.732","NaN","0.722","NaN","NaN","-0.128","-0.587","0"
"1969/03/01","00:00","2.014","1.663","NaN","0.732","NaN","NaN","-0.026","-0.285","0"
"1969/04/01","00:00","2.014","1.752","NaN","0.804","NaN","NaN","-0.016","-0.387","0"
"1969/05/01","00:00","2.313","1.683","NaN","0.594","NaN","NaN","-0.285","-0.587","0"
"1969/06/01","00:00","2.615","1.903","NaN","0.784","NaN","NaN","-0.095","-0.587","0"
"1969/07/01","00:00","2.713","2.172","NaN","0.994","NaN","NaN","0.052","-0.285","0"
"1969/08/01","00:00","2.513","2.044","NaN","1.033","NaN","NaN","0.223","-0.187","0"
"1969/09/01","00:00","2.215","1.844","NaN","0.883","NaN","NaN","0.072","-0.085","0"
"1969/10/01","00:00","2.313","2.034","NaN","0.984","NaN","NaN","0.174","-0.187","0"
"1969/11/01","00:00","2.713","2.044","NaN","0.974","NaN","NaN","0.082","-0.285","0"
"1969/12/01","00:00","2.415","1.893","NaN","0.784","NaN","NaN","-0.128","-0.587","0"
"1970/01/01","00:00","2.513","1.693","NaN","0.623","NaN","NaN","-0.276","-0.587","0"
"1970/02/01","00:00","2.215","1.703","NaN","0.653","NaN","NaN","-0.207","-0.686","0"
"1970/03/01","00:00","2.113","1.703","NaN","0.643","NaN","NaN","-0.118","-0.285","0"
"1970/04/01","00:00","1.614","1.352","NaN","0.354","NaN","NaN","-0.446","-0.787","0"
"1970/05/01","00:00","1.913","1.463","NaN","0.443","NaN","NaN","-0.417","-0.787","0"
"1970/06/01","00:00","2.113","1.575","NaN","0.482","NaN","NaN","-0.456","-0.787","0"
"1970/07/01","00:00","2.014","1.552","NaN","0.492","NaN","NaN","-0.397","-0.686","0"
"1970/08/01","00:00","2.215","1.722","NaN","0.712","NaN","NaN","-0.177","-0.486","0"
"1970/09/01","00:00","2.113","1.824","NaN","0.902","NaN","NaN","0.115","-0.187","0"
"1970/10/01","00:00","2.415","1.952","NaN","0.994","NaN","NaN","0.164","-0.187","0"
"1970/11/01","00:00","2.415","1.883","NaN","0.764","NaN","NaN","-0.138","-0.486","0"
"1970/12/01","00:00","NaN","1.614","NaN","0.545","NaN","NaN","-0.367","NaN","4"
"1971/01/01","00:00","2.513","1.795","NaN","0.712","NaN","NaN","-0.226","-0.587","0"
"1971/02/01","00:00","1.913","1.473","NaN","0.502","NaN","NaN","-0.367","-0.686","0"
"1971/03/01","00:00","1.913","1.434","NaN","0.463","NaN","NaN","-0.367","-0.587","0"
"1971/04/01","00:00","2.014","1.483","NaN","0.492","NaN","NaN","-0.328","-0.587","0"
"1971/05/01","00:00","2.014","1.404","NaN","0.344","NaN","NaN","-0.505","-0.787","0"
"1971/06/01","00:00","2.113","1.654","NaN","0.564","NaN","NaN","-0.367","-0.686","0"
"1971/07/01","00:00","2.415","1.864","NaN","0.843","NaN","NaN","0.013","-0.387","0"
"1971/08/01","00:00","2.313","1.854","NaN","0.873","NaN","NaN","0.062","-0.187","0"
