Date,Time (GMT),Highest,MHHW (ft),MHW (ft),MSL (ft),MTL (ft),MLW (ft),MLLW (ft),Lowest (ft),Inf,station_id
1997/01/01,00:00,2.431,1.834,1.407,0.853,0.84,0.272,0.02,-0.554,0,1611400
1997/02/01,00:00,2.231,1.781,1.463,0.869,0.876,0.289,0.108,-0.292,0,1611400
1997/03/01,00:00,2.211,1.644,1.358,0.827,0.812,0.266,0.098,-0.44,0,1611400
1997/04/01,00:00,1.765,1.467,1.122,0.594,0.569,0.016,-0.118,-0.469,0,1611400
1997/05/01,00:00,2.336,1.811,1.434,0.879,0.866,0.299,0.089,-0.276,0,1611400
1997/06/01,00:00,2.48,1.867,1.401,0.817,0.794,0.187,-0.098,-0.364,0,1611400
1997/07/01,00:00,2.612,2.077,1.604,0.988,0.974,0.344,0.095,-0.276,0,1611400
1997/08/01,00:00,2.454,2.07,1.657,1.03,1.022,0.387,0.18,-0.157,0,1611400
1997/09/01,00:00,2.507,2.037,1.732,1.119,1.114,0.495,0.374,0.02,0,1611400
1997/10/01,00:00,2.238,1.919,1.588,0.988,0.984,0.381,0.223,-0.174,0,1611400
1997/11/01,00:00,2.267,1.847,1.427,0.883,0.868,0.308,0.092,-0.262,0,1611400
1997/12/01,00:00,2.3,1.847,1.332,0.787,0.756,0.18,-0.079,-0.44,0,1611400
1998/01/01,00:00,2.221,1.837,1.391,0.814,0.797,0.203,-0.043,-0.492,0,1611400
1998/02/01,00:00,1.919,1.539,1.184,0.6,0.581,-0.023,-0.22,-0.515,0,1611400
1998/03/01,00:00,1.601,1.378,1.125,0.581,0.558,-0.01,-0.108,-0.564,0,1611400
1998/04/01,00:00,2.077,1.358,1.004,0.456,0.438,-0.128,-0.272,-0.581,0,1611400
1998/05/01,00:00,2.172,1.604,1.161,0.643,0.618,0.075,-0.141,-0.581,0,1611400
1998/06/01,00:00,2.06,1.611,1.155,0.643,0.61,0.066,-0.18,-0.591,0,1611400
1998/07/01,00:00,2.044,1.575,1.152,0.627,0.605,0.059,-0.207,-0.449,0,1611400
1998/08/01,00:00,1.821,1.427,1.135,0.561,0.558,-0.02,-0.213,-0.499,0,1611400
1998/09/01,00:00,1.998,1.608,1.266,0.719,0.702,0.138,-0.007,-0.295,0,1611400
1998/10/01,00:00,2.037,1.778,1.457,0.863,0.855,0.253,0.118,-0.148,0,1611400
1998/11/01,00:00,2.254,1.604,1.22,0.659,0.635,0.049,-0.164,-0.443,0,1611400
1998/12/01,00:00,2.208,1.624,1.132,0.584,0.558,-0.016,-0.305,-0.61,0,1611400
1999/01/01,00:00,2.267,1.706,1.237,0.623,0.61,-0.016,-0.285,-0.614,0,1611400
1999/02/01,00:00,2.306,1.821,1.44,0.843,0.83,0.22,0.02,-0.344,0,1611400
1999/03/01,00:00,2.264,1.654,1.375,0.804,0.787,0.2,0.089,-0.256,0,1611400
1999/04/01,00:00,1.772,1.45,1.178,0.63,0.617,0.056,-0.085,-0.558,0,1611400
1999/05/01,00:00,2.188,1.631,1.214,0.653,0.638,0.062,-0.151,-0.512,0,1611400
1999/06/01,00:00,2.457,1.834,1.319,0.791,0.768,0.217,-0.043,-0.407,0,1611400
1999/07/01,00:00,2.516,1.952,1.473,0.912,0.879,0.285,0.072,-0.335,0,1611400
1999/08/01,00:00,2.415,1.798,1.424,0.886,0.863,0.302,0.108,-0.2,0,1611400
1999/09/01,00:00,2.228,1.768,1.434,0.896,0.871,0.308,0.194,0.03,0,1611400
1999/10/01,00:00,2.228,1.949,1.634,1.02,1.015,0.397,0.276,-0.174,0,1611400
1999/11/01,00:00,2.467,1.919,1.457,0.922,0.892,0.328,0.092,-0.394,0,1611400
1999/12/01,00:00,2.864,1.995,1.509,0.971,0.943,0.377,0.102,-0.272,0,1611400
2000/01/01,00:00,2.267,1.667,1.152,0.63,0.604,0.056,-0.223,-0.758,0,1611400
2000/02/01,00:00,2.172,1.64,1.227,0.679,0.653,0.079,-0.115,-0.495,0,1611400
2000/03/01,00:00,1.995,1.503,1.152,0.581,0.563,-0.026,-0.135,-0.394,0,1611400
2000/04/01,00:00,1.982,1.624,1.296,0.682,0.673,0.049,-0.089,-0.299,0,1611400
